date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2019-03-10,orange,Slap Happy Traverse,pinch,overhang,natural,V5,Rebecca Blakeslee,,Bishop Happy Boulders,outdoors
2019-03-10,green,Solarium Dyno,jug,face,dyno,V2,,,Bishop Happy Boulders,outdoors
2019-03-10,green,Carrot Top,crimp,face,natural,V3,,,Bishop Happy Boulders,outdoors
2019-03-16,orange,Groundwater,crimp,overhang,natural,V5,,,Bishop Happy Boulders,outdoors
2019-03-28,blue,Jones’n,crimp,face,natural,V4,,,Red Rocks,outdoors
2019-03-29,green,Perfect Poser (The Cube),crimp,face,natural,V1,,,Red Rocks,outdoors
2019-03-29,green,Sorange,crimp,face,natural,V3,,,Red Rocks,outdoors
2019-03-30,blue,Jenna’s Jewelry,crimp,face,natural,V4,,,Red Rocks,outdoors
2019-04-08,blue,Center Overhang,crimp,overhang,natural,V3,,,Berkeley Indian Rock,outdoors
2019-04-08,green,Flake Traverse,crimp,face,natural,V3,,,Berkeley Indian Rock,outdoors
2019-05-12,orange,Johnny Cash,sloper,variable,dyno,V3,,,Salt Point State Park,outdoors
2019-06-23,green,Three Bangs,crimp,arete,natural,V3,,,South Lake Tahoe,outdoors
2019-06-23,green,Wood Nymph Early Exit,crimp,slab,natural,V3,,,South Lake Tahoe,outdoors
2019-07-01,green,Got Surprised,crimp,face,natural,V3,,,Mount Lassen,outdoors
2019-07-01,blue,Widebeast,crimp,overhang,natural,V4,,,Mount Lassen,outdoors
2019-07-05,orange,Gypsy’s Link Up,crimp,overhang,natural,V5,,,Black Mountain,outdoors
2019-07-05,green,Central Basin Arete,crimp,arete,natural,V3,,,Black Mountain,outdoors
2019-07-05,blue,Central Basin Traverse,crimp,face,natural,V4,,,Black Mountain,outdoors
2019-07-05,blue,Pink Crack,"crimp, pinch",face,natural,V3,,,Black Mountain,outdoors
2019-07-06,green,Line Dance,jug,overhang,natural,V1,D. Roth,,Palm Springs Aerial Tramway,outdoors
2019-07-06,blue,Humping the Walrus,sloper,variable,natural,V4,Chad Gilbert,,Palm Springs Aerial Tramway,outdoors
2019-07-06,green,Breakdance,jug,face,dyno,V3,A. Dornan,,Palm Springs Aerial Tramway,outdoors
2019-07-06,orange,Swing Dance,crimp,overhang,dyno,V7,A. Dornan,,Palm Springs Aerial Tramway,outdoors
2019-07-07,blue,Unnamed V1 (#374),"crimp, sloper",face,mantle,V1,,,Palm Springs Aerial Tramway,outdoors
2019-07-07,orange,Dancing Queen (aka. The Cube),sloper,arete,natural,V5,Frank Cornelius,,Palm Springs Aerial Tramway,outdoors
2019-07-12,orange,Smiley Face,crimp,face,natural,V6,,,Stinson Beach,outdoors
