index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
200179,2018-08-06,orange,Space Monkey,"crimp, pinch",overhang,natural,V5,Tyrone Brett,2000,Squamish,outdoor
200180,2018-08-06,blue,Rhino Face,jug,overhang,mantle,V3,Curtis Suave,2010,Squamish,outdoor
200181,2018-08-24,green,The Cheech and the Choss,crimp,face,natural,V2,,,Mount Tamalpais,outdoor
200182,2018-08-24,blue,"Intuition, Stand Start",crimp,face,dyno,V4,Chris Summit,,Mount Tamalpais,outdoor
200183,2018-08-24,green,Right Arete,"crimp, jug",face,natural,V2,,,Mount Tamalpais,outdoor
200184,2018-08-24,blue,Girl Power,crimp,face,natural,V6,,,Mount Tamalpais,outdoor
200185,2018-09-02,orange,The Pearl,crimp,face,natural,V5,Randal Grandstaff,1978,Red Rocks,outdoor
200186,2018-09-02,green,Jenna’s Jewelry,jug,face,dyno,V4,,,Red Rocks,outdoor
200187,2018-09-03,blue,"Thread Problem, Right Exit",crimp,face,natural,V1,,,Mount Charleston,outdoor
200188,2018-09-11,green,Face climb,crimp,face,natural,V1,FA,2018,"Bishop, Sky Rock Area",outdoor
200189,2018-09-23,green,Emma’s Problem,crimp,overhang,natural,V2,,,Bishop Sad Boulders,outdoor
200190,2018-09-23,blue,The Fang,crimp,cave,natural,V4,Zach Shields,,Bishop Sad Boulders,outdoor
200191,2018-09-24,green,City of Daggers,crimp,face,natural,V1,FA,2018,"Bishop, Sky Rock Area",outdoor
200192,2018-10-22,orange,"Dead End, Right Exit",crimp,face,natural,V6,,,"Mitake Boulders, Japan",outdoor
200193,2018-12-01,green,Brittle Skidaddle,crimp,face,natural,V0,FA,,"Bishop, Sky Rock Area",outdoor
200194,2018-12-08,orange,French Press,"crimp, sloper",slab,natural,V6,Tim Medina,,Bishop Sad Boulders,outdoor
200195,2018-12-10,blue,Black Magic,crimp,slab,natural,V3,,,Bishop Happy Boulders,outdoor
200196,2019-01-10,orange,Seven Spanish Angels,pinch,face,dyno,V6,"Jason Jackson, Greg Haverstock",1999,Bishop Buttermilks,outdoor
200197,2019-01-27,red,Static Reach,"crimp, pinch",overhang,natural,V8,,,Castle Rock,outdoor
200198,2019-02-17,blue,Warm Up Arete,crimp,arete,natural,V3,,,Henderson Boulders,outdoor
200199,2019-02-18,green,Unnamed Left Face on the Downstream Boulders,crimp,face,natural,V2,,,Henderson Boulders,outdoor
200200,2019-02-18,orange,Warm Enough,jug,cave,natural,V5,,,Henderson Boulders,outdoor
200201,2019-02-18,green,Fleur de Lis,jug,slab,natural,V0,,,Keyhole Canyon,outdoor
200202,2019-02-18,green,Left Chunky Face,crimp,face,natural,V1,,,Keyhole Canyon,outdoor
200203,2019-02-18,green,Plastic Man,"crimp, jug",face,natural,V2,,,Keyhole Canyon,outdoor
200204,2019-02-19,blue,Joseph,crimp,face,natural,V3,,,Bishop Happy Boulders,outdoor
200205,2019-02-20,orange,Angel Dyno,"crimp, jug",face,dyno,V7,John Long,1980,Red Rocks,outdoor
200206,2019-03-10,orange,Slap Happy Traverse,pinch,overhang,natural,V5,Rebecca Blakeslee,,Bishop Happy Boulders,outdoor
200207,2019-03-10,green,Solarium Dyno,jug,face,dyno,V2,,,Bishop Happy Boulders,outdoor
200208,2019-03-10,green,Carrot Top,crimp,face,natural,V3,,,Bishop Happy Boulders,outdoor
200209,2019-03-16,orange,Groundwater,crimp,overhang,natural,V5,,,Bishop Happy Boulders,outdoor
200210,2019-03-28,blue,Jones’n,crimp,face,natural,V4,,,Red Rocks,outdoor
200211,2019-03-29,green,Perfect Poser (The Cube),crimp,face,natural,V1,,,Red Rocks,outdoor
200212,2019-03-29,green,Sorange,crimp,face,natural,V3,,,Red Rocks,outdoor
200213,2019-03-30,blue,Jenna’s Jewelry,crimp,face,natural,V4,,,Red Rocks,outdoor
200214,2019-04-08,blue,Center Overhang,crimp,overhang,natural,V3,,,Berkeley Indian Rock,outdoor
200215,2019-04-08,green,Flake Traverse,crimp,face,natural,V3,,,Berkeley Indian Rock,outdoor
200216,2019-05-12,orange,Johnny Cash,sloper,variable,dyno,V3,,,Salt Point State Park,outdoor
