index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
100189,2018-11-29,blue,"Blue swinging jump dyno to a crimp, jug finish, Women’s Comp Final #1","crimp, jug",overhang,comp,V7,Sean Nanos,,Dogpatch,indoor
100190,2018-11-30,yellow,Yellow run and jump to pipes,jug,face,comp,V6,,,Planet Granite Sunnyvale,indoor
100191,2018-12-16,orange,Orange run and jump to the right,pinch,face,comp,V6,Kessler,,The Studio Climbing,indoor
100192,2018-12-19,blue,"Blue dynamic moves to a shelf, then a difficult mantle","crimp, sloper",overhang,dyno,V9,Radu Popescu,,Dogpatch,indoor
100193,2019-01-04,green,"Green crimps to pinches, traverse left to finish hold","crimp, pinch",face,natural,V7,,,Climb Central Manilla,indoor
100194,2019-01-12,white,"White dyno start, crimpy finish, on expansion overhang","crimp, sloper",overhang,dyno,V8,Kurt Jalapeno,,Dogpatch,indoor
100195,2019-02-09,purple,"Purple comp dyno to the right, easy finish on jugs",jug,overhang,comp,V6,Kurt Jalapeno,,Dogpatch,indoor
100196,2019-02-26,blue,Blue crimps on the wave,crimp,face,natural,V9,Morgan McGehee,,Dogpatch,indoor
100197,2019-03-05,purple,Purple crimps in the back,crimp,slab,natural,V9,Nilo Batle,,Dogpatch,indoor
100198,2019-03-06,purple,"Purple dyno to a jug, jump dyno to the left, easy finish",jug,face,comp,V7,Nick Noel,,Dogpatch,indoor
100199,2018-04-09,purple,Purple comp dyno,sloper,face,comp,V8,,,Diablo Rock,indoor
100200,2019-05-03,orange,Orange overhung pinches,pinch,overhang,natural,V9,Max Krimmer,,Dogpatch,indoor
100201,2019-05-04,colorless,"Two dynos, followed by sketchy crimps",crimp,overhang,dyno,V9,James Shen,,The Studio Climbing,indoor
100202,2019-05-10,white,"White undercling start, sideways dyno, followed by straight up dyno high off the ground",jug,overhang,natural,V9,Max Krimmer,,Dogpatch,indoor
100203,2019-05-17,orange,Powerful orange pinches,pinch,overhang,natural,V10,Nilo Batle,,Great Western,indoor
100204,2019-06-14,purple,Purple foot chips,crimp,slab,natural,V6,Nilo Batle,,Dogpatch,indoor
100205,2019-06-18,red,"Red crimps, dyno to a jug",crimp,face,natural,V7,Colin Baxter Green,,Diablo Rock,indoor
100206,2019-06-19,orange,"Orange pinches, double-clutch dyno to the left",pinch,overhang,dyno,V6,,,Great Western,indoor
100207,2019-06-24,white,"White dyno start, crimpy finish, on the arch",crimp,overhang,dyno,V9,Max Krimmer,,Dogpatch,indoor
