index_,date_,location_type,grade,display_grade,location,color,description,wall_type,hold_type,style,setter
100116,2017-08-22,indoor,7,V7,Dogpatch,yellow,Yellow Comp Final #1,slab,sloper,comp,Woman Up
100117,2017-08-27,indoor,8,V8,Dogpatch,pink,"Pink crimps, knee bar through intro, then crimpy finish",overhang,"crimp, pinch, sloper",natural,Sean Nanos
100118,2017-08-27,indoor,7,V7,Dogpatch,yellow,"Yellow Comp Problem, Dyno Start, Mantel on a crimp to a sidepull jug",face,"crimp, jug",dyno,Radu Popescu
100119,2017-09-10,indoor,6,V6,Cliffs of Id,green,Green dyno onto two pipes,overhang,jug,dyno,DC
100120,2017-09-12,indoor,8,V8,Dogpatch,orange,Orange overhanging dyno to a bad pinch,overhang,pinch,dyno,Max Krimmer
100121,2017-09-13,indoor,8,V8,Dogpatch,green,Green overhanging traverse twice,overhang,jug,natural,Ben Polanco
100122,2017-09-18,indoor,8,V8,Dogpatch,purple,Purple overhang crimp to pinch,overhang,"crimp, pinch",natural,Mark Heal
100123,2017-09-18,indoor,7,V7,Dogpatch,orange,"Orange Comp Problem, do a sideways fall into a volume, then dyno from a crimp to a distant mushroom around the arete",face,jug,comp,
100124,2017-09-21,indoor,7,V7,Dogpatch,purple,"Purple slopers with crimps behind them, face climbing",face,"crimp, sloper",natural,Colin Baxter Green
100125,2017-09-26,indoor,7,V7,Dogpatch,green,Light Green Roof Comp Problem,cave,jug,natural,Woman Up
100126,2017-09-26,indoor,7,V7,Dogpatch,pink,"Pink face climb, dyno to an undercling sidepull, then some jugs, then a dyno finish",face,"pinch, sloper",dyno,Zak Grinstead
100127,2017-09-26,indoor,7,V7,Dogpatch,green,"Dark Green Roof Problem, good holds all the way through, finish on some crimps",cave,"crimp, jug",natural,Max Krimmer
100128,2017-09-27,indoor,7,V7,Dogpatch,pink,"Pink two dynos, mantle to the right for topout",overhang,jug,dyno,Max Krimmer
100129,2017-09-28,indoor,7,V7,Dogpatch,yellow,Soft yellow crimp ladder on the mushroom,overhang,crimp,natural,Max Krimmer
100130,2017-09-28,indoor,8,V8,Dogpatch,blue,"Blue one move wonder start, bump left hand to a crimp and hold the swing, easy topout",overhang,crimp,natural,Buck Yedor
100131,2017-09-30,indoor,8,V8,Dogpatch,yellow,"Yellow lieback on a jug, do a rose move while upside-down to a pinch, reach over to a crimp, then swing over. Difficult mantel after the semi-knee bar, slabby topout.",overhang,"crimp, pinch",natural,Radu Popescu
100132,2017-10-02,indoor,7,V7,Dogpatch,green,Green typical Max problem with dyno and mantle,face,sloper,comp,Max Krimmer
100133,2017-10-03,indoor,7,V7,Peak of Fremont,purple,"Purple arete, overhanging start, powerful move to a crimp, bump up to sloper, traverse left to slopers by toe hooking the sloper, reachy finish",arete,"crimp, sloper",natural,
100134,2017-10-07,indoor,8,V8,Studio Climbing,red,"Red dyno/deadpoint to a sloper, move onto crimps, dyno finish, grade was inflated to V9",overhang,"crimp, sloper",dyno,Art
100135,2017-10-09,indoor,7,V7,Metrorock Everette,black,"Black crimps, Advanced Route #1",overhang,crimp,natural,
100136,2017-10-21,indoor,7,V7,The Cliffs at LIC,black,Black arete on slopers,arete,sloper,natural,
100137,2017-10-28,indoor,8,V8,Studio Climbing,purple,Purple rainbow rocket emulator,face,jug,comp,Kessler
100138,2017-11-13,indoor,8,V8,Planet Granite Belmont,blue,"Blue throw to an arete, toe hook arete, big move to a jug, rose move through a pinch onto slopers",arete,jug,natural,Cath
